Time,VehicleID,X,Y,Speed,BroadcastFrequency,NeighborDensity,CommunicationConsistency,Label
0,0,373.7921868555714,950.1906320415663,9.91454627800606,6,3,0.8374907890024921,0.0
0,1,731.8357042508472,598.4807304763177,4.713559092202838,7,6,0.37930569838554884,0.0
0,2,156.23104789108692,155.73848295288545,4.348162772135049,13,5,0.11426730005568775,1.0
0,3,57.94702953700519,866.7568817555639,7.987716646677971,15,7,0.48083697808907355,0.0
0,4,601.4554022212475,708.1434031271256,4.06723186227716,7,7,0.16551331742797382,0.0
0,5,19.710348432661224,969.5562958875471,9.376815930432082,13,6,0.22009721408109706,0.0
0,6,831.9412276958622,212.36559092320428,8.725714766587107,10,8,0.5350697189336586,0.0
0,7,181.51820540294693,183.20967915334242,4.860946246375165,8,4,0.4267889053367494,0.0
0,8,304.7073751285879,524.522745331323,7.757839610123476,10,5,0.3777259474401693,1.0
0,9,432.4694462515415,291.3654084078869,7.7908858667621415,8,7,0.5276477301447858,0.0
0,10,611.86618170529,139.48656773064553,1.9281148195233935,10,12,0.10298147933131552,0.0
0,11,291.8424277104895,365.5873087552784,9.1229761601161,13,6,0.8974304098188842,0.0
0,12,456.09947181037194,785.5096295113126,5.547271352030714,14,3,0.5517225952593398,0.0
0,13,199.25843873043476,513.7215917578511,8.438117194969674,10,9,0.33927124589619095,0.0
0,14,592.468463231873,46.75111664761886,3.880446409275506,10,9,0.8053149673579051,0.0
0,15,608.4304000158459,170.71111137511284,9.059709056465804,17,10,0.406392308273522,0.0
0,16,64.89308494285683,948.5135371965994,4.502815108607468,11,8,0.8481280954668835,1.0
0,17,965.5492296698116,808.4799805170893,1.0975388633226852,11,9,0.9106240035403039,0.0
0,18,304.84204331866323,97.37179980744102,9.148437787773373,13,12,0.03422811082052912,0.0
0,19,684.3534892453937,440.09609475823606,1.821580091075202,13,3,0.8610680199747216,0.0
0,20,121.82092154361902,495.54457250853653,3.873822738313734,13,8,0.5657766199665605,1.0
0,21,35.31562681980572,909.2651338660479,9.550557703457244,7,10,0.5124576558819216,0.0
0,22,259.24186779457216,662.9022972450907,9.555464322438006,9,5,0.6450541677693294,1.0
0,23,311.61460060156895,519.6149162648069,6.160940993109575,10,5,0.49809075351100573,1.0
0,24,546.1314599836464,184.72774313209757,6.686534909528193,10,8,0.10657873012867436,0.0
0,25,969.2220537384915,774.8948052287785,5.036009697804878,8,8,0.25073066056159776,0.0
0,26,939.595807591424,894.8231830538009,3.638896945282581,11,8,0.4043815015490243,0.0
0,27,598.1144312227391,921.8125190655495,3.957980908329244,7,5,0.7709859255354785,0.0
0,28,87.88350391817139,196.4583235336123,7.052666104693346,9,6,0.7215328611219056,0.0
0,29,45.39888803083776,326.02867670469294,7.77137076493912,6,5,0.2699112223921949,0.0
0,30,388.7420279211532,270.7998576330781,8.124211393532637,17,8,0.6233325509049907,0.0
0,31,828.6957397744461,356.50102406871275,8.106563285150985,8,7,0.704925549688953,0.0
0,32,280.9703026180799,542.6814003350173,1.8208549274382133,4,6,0.0023393906257782593,1.0
0,33,141.43399698565187,801.6577289137496,5.449782742323233,5,5,0.8074302518167612,0.0
0,34,74.69093953652846,986.9749863897733,1.5180288401497986,12,7,0.0867052118621836,0.0
0,35,772.7896040060853,199.02294938694723,5.94575994091362,11,7,0.7241033292731386,0.0
0,36,5.65862891037198,815.9394845828275,4.973774512360393,15,4,0.6931752114569247,0.0
0,37,706.0511725085571,729.3126571331059,8.989337644824698,10,7,0.12052257878646444,0.0
0,38,771.4624768344627,73.78900263080587,4.158235112968708,5,2,0.7953418379590974,0.0
0,39,358.5663816097618,115.6862406323849,2.053603147848453,9,11,0.6445466506258222,0.0
0,40,863.1721101733349,623.2362413752537,2.2869251384755227,11,9,0.8849983565232811,0.0
0,41,330.9455628756655,63.465728374008556,7.85359568545725,9,8,0.8039769794008976,0.0
0,42,311.03273490475937,325.3955417304372,6.56396256984635,12,7,0.42681705665486436,0.0
