Time,VehicleID,X,Y,Speed,BroadcastFrequency,NeighborDensity,CommunicationConsistency,Label
0,0,373.75537649341436,951.3893673071436,9.91454627800606,15,3,0.2359060345950812,0.0
0,1,731.6786240435024,598.3627751829376,4.713559092202838,14,6,0.3114442640456412,0.0
0,2,155.7815747998719,156.0883488134863,4.348162772135049,9,5,0.2055798083756375,1.0
0,3,58.54336898516553,866.3418454160592,7.987716646677971,5,7,0.863518140612957,0.0
0,4,601.4590672094582,708.0446766849701,4.06723186227716,11,7,0.9127494628791288,0.0
0,5,20.112327435319187,970.0554402707616,9.376815930432082,6,6,0.3114731711327574,0.0
0,6,832.9321459078816,211.95096849986297,8.725714766587107,7,8,0.5151736824068126,0.0
0,7,182.2872833617935,183.36463938848206,4.860946246375165,10,5,0.5350697189336586,0.0
0,8,303.75266567262344,524.4454910774922,7.757839610123476,8,5,0.4267889053367494,1.0
0,9,432.41213214589334,290.9944584579505,7.7908858667621415,10,7,0.3777259474401693,0.0
0,10,611.9826818432273,139.52758477011074,1.9281148195233935,8,12,0.5276477301447858,0.0
0,11,292.20751659012126,366.32733645449196,9.1229761601161,10,6,0.10298147933131552,0.0
0,12,455.8862173307063,784.7050017872128,5.547271352030714,13,3,0.8974304098188842,0.0
0,13,199.71863660166647,514.7419907772437,8.438117194969674,14,9,0.5517225952593398,0.0
0,14,592.2235644144545,46.21456935377364,3.880446409275506,10,9,0.33927124589619095,0.0
0,15,607.6706795147974,171.22617953578157,9.059709056465804,10,10,0.8053149673579051,0.0
0,16,65.49172405395957,948.9784730176716,4.502815108607468,17,8,0.406392308273522,0.0
0,17,965.5933975249061,808.3066749465494,1.0975388633226852,11,9,0.8481280954668835,0.0
0,18,303.9235687419645,98.36088904812806,9.148437787773373,11,12,0.9106240035403039,0.0
0,19,684.2784790416508,440.092697042225,1.821580091075202,13,3,0.03422811082052912,0.0
0,20,122.29441423399051,495.0569704734245,3.873822738313734,13,8,0.8610680199747216,0.0
0,21,33.85275493213305,910.226840286642,9.550557703457244,13,10,0.5657766199665605,0.0
0,22,259.70756360709765,662.466987747088,9.555464322438006,7,5,0.5124576558819216,1.0
0,23,312.0088798898505,520.3130366914206,6.160940993109575,9,5,0.6450541677693294,0.0
0,24,546.605573468302,184.36269593525216,6.686534909528193,10,8,0.49809075351100573,1.0
0,25,969.148685987864,775.0373890515989,5.036009697804878,10,8,0.10657873012867436,0.0
0,26,939.2369544761837,894.6553643699061,3.638896945282581,8,8,0.25073066056159776,0.0
0,27,598.005338729826,921.8697022247507,3.957980908329244,11,5,0.4043815015490243,0.0
0,28,88.8746315491989,195.87289169110616,7.052666104693346,7,6,0.7709859255354785,0.0
0,29,44.55623058702505,325.85424392602926,7.77137076493912,9,5,0.7215328611219056,0.0
0,30,388.85667986020303,272.07908445386556,8.124211393532637,6,7,0.2699112223921949,0.0
0,31,828.8021067536645,356.2053455159143,8.106563285150985,17,7,0.6233325509049907,0.0
0,32,280.92512766270136,542.6394122285891,1.8208549274382133,8,6,0.704925549688953,0.0
0,33,141.0313525075948,802.1530353548495,5.449782742323233,4,5,0.0023393906257782593,0.0
0,34,74.69263991173459,986.7367288061208,1.5180288401497986,5,7,0.8074302518167612,0.0
0,35,772.7942749864857,199.0605517342097,5.94575994091362,12,7,0.0867052118621836,0.0
0,36,5.977884766112579,815.7184655753682,4.973774512360393,11,4,0.7241033292731386,1.0
0,37,707.1040680488692,729.8711814652047,8.989337644824698,15,7,0.6931752114569247,0.0
0,38,770.8974326736349,74.18596308757009,4.158235112968708,10,2,0.12052257878646444,0.0
0,39,358.5606147320595,115.7428036042915,2.053603147848453,5,11,0.7953418379590974,0.0
0,40,863.2155147307226,623.0945367999304,2.2869251384755227,9,9,0.6445466506258222,0.0
0,41,331.1338955837567,63.34582766644511,7.85359568545725,11,8,0.8849983565232811,0.0
0,42,311.02205355521954,325.10590949012504,6.56396256984635,9,7,0.8039769794008976,0.0
0,43,729.6208485067941,637.619226997273,1.9101040851051123,12,7,0.42681705665486436,1.0
0,44,887.3450998713299,472.18593743912146,1.756961255034977,9,3,0.07002970574747103,0.0
0,45,118.87723899982393,712.5909253088216,7.30872218313208,5,7,0.47978132685650476,0.0
0,46,760.8117771052731,561.2016320274312,1.6548670572777417,9,7,0.33637046382842206,0.0
0,47,771.0049975163973,494.1856615840313,8.396740533613206,8,4,0.7155533152342419,0.0
0,48,522.8639290666064,427.2133235560837,7.3561800444084655,15,4,0.10946759867911515,0.0
0,49,25.38158441153758,107.76132172057999,1.7321390257770979,17,5,0.25898265160181366,0.0
0,50,31.4604194615745,636.5805330397957,1.7635394267667273,14,6,0.9037239671752705,0.0
